--- AR Telemetry Log Started at 2026-04-30T09:31:16.340Z ---
2026-04-30T09:31:38.325Z | 09:31:30.374 | phase1 | P1:stabilizer:update | {"frame":15,"markers":1,"cached":0,"posDelta":"5.1691","rotDelta":"41.20","avgPos30":"10.5850","maxPos30":"18.3693","avgRot30":"82.55","maxRot30":"138.23","lerp":0.08} | 3324ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.375 | phase1 | P1:stabilizer:large-jump | {"frame":15,"posDelta":"5.1691","rotDelta":"41.20","corners":["bottom-left"],"avgPos":"(2.310, -2.491, -17.050)"} | 3325ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.407 | phase1 | P1:stabilizer:large-jump | {"frame":16,"posDelta":"4.7556","rotDelta":"37.87","corners":["bottom-left"],"avgPos":"(2.311, -2.489, -17.050)"} | 3357ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.430 | phase1 | P1:marker:lost | {"markerId":"marker-bl","visibleMarkers":0} | 3380ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.431 | phase1 | P1:stabilizer:marker-hysteresis | {"corner":"bottom-left","usingCachedFor":15,"frame":16} | 3381ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.431 | phase1 | P1:stabilizer:large-jump | {"frame":17,"posDelta":"4.3751","rotDelta":"34.84","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3381ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.457 | phase1 | P1:stabilizer:large-jump | {"frame":18,"posDelta":"4.0251","rotDelta":"32.06","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3407ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.489 | phase1 | P1:stabilizer:large-jump | {"frame":19,"posDelta":"3.7031","rotDelta":"29.49","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3439ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.513 | phase1 | P1:stabilizer:large-jump | {"frame":20,"posDelta":"3.4069","rotDelta":"27.13","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3463ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.541 | phase1 | P1:stabilizer:large-jump | {"frame":21,"posDelta":"3.1343","rotDelta":"24.96","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3491ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.561 | phase1 | P1:stabilizer:large-jump | {"frame":22,"posDelta":"2.8836","rotDelta":"22.96","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3511ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.589 | phase1 | P1:stabilizer:large-jump | {"frame":23,"posDelta":"2.6529","rotDelta":"21.13","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3539ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.626 | phase1 | P1:stabilizer:large-jump | {"frame":24,"posDelta":"2.4407","rotDelta":"19.44","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3576ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.657 | phase1 | P1:stabilizer:large-jump | {"frame":25,"posDelta":"2.2454","rotDelta":"17.88","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3607ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.690 | phase1 | P1:stabilizer:large-jump | {"frame":26,"posDelta":"2.0658","rotDelta":"16.45","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3640ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.723 | phase1 | P1:stabilizer:large-jump | {"frame":27,"posDelta":"1.9005","rotDelta":"15.14","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3673ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.756 | phase1 | P1:stabilizer:large-jump | {"frame":28,"posDelta":"1.7485","rotDelta":"13.92","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3706ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.790 | phase1 | P1:stabilizer:large-jump | {"frame":29,"posDelta":"1.6086","rotDelta":"12.81","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3740ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.824 | phase1 | P1:stabilizer:update | {"frame":30,"markers":1,"cached":1,"posDelta":"1.4799","rotDelta":"11.79","avgPos30":"6.7067","maxPos30":"18.3693","avgRot30":"52.54","maxRot30":"138.23","lerp":0.08} | 3774ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.824 | phase1 | P1:stabilizer:large-jump | {"frame":30,"posDelta":"1.4799","rotDelta":"11.79","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3774ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.862 | phase1 | P1:stabilizer:large-jump | {"frame":31,"posDelta":"1.3615","rotDelta":"10.84","corners":["bottom-left*"],"avgPos":"(2.311, -2.489, -17.050)"} | 3812ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.897 | phase1 | P1:stabilizer:marker-visibility | {"corner":"bottom-left","visible":false,"cachedFrames":15,"frame":31} | 3847ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.897 | phase1 | P1:stabilizer:hidden | {"reason":"no markers visible","frame":31} | 3847ms from boot
2026-04-30T09:31:38.325Z | 09:31:31.225 | phase1 | P1:marker:found | {"markerId":"marker-br","visibleMarkers":1,"timeMs":4175,"model":"layers_of_the_sun"} | 4175ms from boot
2026-04-30T09:31:38.325Z | 09:31:31.226 | phase1 | P1:model:measure | {"worldSize":{"x":"0.0000","y":"0.0000","z":"0.0000"},"worldMaxDim":"0.0000","currentScale":1,"modelBaseMaxDim":"0.0000"} | 4176ms from boot
2026-04-30T09:31:38.325Z | 09:31:31.228 | phase1 | P1:stabilizer:marker-visibility | {"corner":"bottom-right","visible":true,"frame":31} | 4179ms from boot
2026-04-30T09:31:38.325Z | 09:31:31.229 | phase1 | P1:stabilizer:markers-changed | {"from":["bottom-left"],"to":["bottom-right"],"frame":32} | 4179ms from boot
2026-04-30T09:31:38.325Z | 09:31:31.229 | phase1 | P1:stabilizer:large-jump | {"frame":32,"posDelta":"3.0780","rotDelta":"9.75","corners":["bottom-right"],"avgPos":"(-0.565, -3.142, -14.883)"} | 4179ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.052 | phase1 | P1:env:document | {"readyState":"interactive","visibility":"visible","childElementCount":4} | 2ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.053 | phase1 | P1:env:location | {"href":"https://192.168.29.169:5173/ar/","origin":"https://192.168.29.169:5173","protocol":"https:","host":"192.168.29.169:5173"} | 3ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.053 | phase1 | P1:env:security | {"isSecureContext":true,"hasSecureContext":true} | 3ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.053 | phase1 | P1:env:navigator | {"userAgent":"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36","language":"en","languages":["en","hi"],"platform":"Linux armv81","maxTouchPoints":5,"hardwareConcurrency":8,"deviceMemory":8} | 3ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.053 | phase1 | P1:env:media | {"hasMediaDevices":true,"hasGetUserMedia":true} | 3ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.054 | phase1 | P1:env:network | {"effectiveType":"4g","downlink":1.7} | 4ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.060 | phase1 | P1:env:visualViewport:initial | {"width":411.4285583496094,"height":838.4761962890625,"offsetTop":0,"scale":1} | 10ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.066 | phase1 | P1:env:heap | {"usedJSHeapSize":27600000,"totalJSHeapSize":33100000,"jsHeapSizeLimit":1130000000} | 16ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.066 | phase1 | P1:model:device-calibration | {"isMobile":true,"calibration":{"size":15,"pitch":0,"yaw":0,"roll":0}} | 16ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.067 | phase1 | P1:env:script-count | {"count":4} | 17ms from boot
